ep,task_id,fbeta,spec,reason,total,valid_json,non_empty_findings,has_table_id,has_str_table_value,ts
1,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
2,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
3,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
4,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
5,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
6,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
7,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
8,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
9,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
10,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
11,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
12,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
13,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
14,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
15,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
16,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
17,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
18,claim_evidence_audit,0.0014,0.0001,0.0271,0.0076,1,1,1,1,1777163184.69
19,claim_evidence_audit,0.8462,1.0,0.6693,0.825,1,1,1,1,1777163265.08
20,claim_evidence_audit,0.7,0.0001,0.5925,0.5681,1,1,1,0,1777163265.08
21,claim_evidence_audit,0.6136,1.0,0.5471,0.6549,1,1,1,1,1777163265.08
22,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.08
23,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.08
24,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
25,claim_evidence_audit,0.0001,0.0001,0.21,0.0526,0,0,0,0,1777163265.09
26,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
27,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163265.09
28,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163265.09
29,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
30,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
31,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
32,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163265.09
33,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777163265.09
34,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163265.09
35,claim_evidence_audit,0.6353,1.0,0.5585,0.6708,1,1,1,1,1777163354.44
36,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163354.44
37,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163354.44
38,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777163354.44
39,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,0,1,1777163354.44
40,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163354.44
41,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777163354.44
42,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777163354.44
43,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163354.44
44,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777163354.44
45,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163354.44
46,claim_evidence_audit,0.575,1.0,0.5269,0.6267,1,1,1,1,1777163354.44
47,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777163354.44
48,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777163354.44
49,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163354.45
50,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163354.45
51,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,0,0,0,0,1777163419.15
52,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777163419.15
53,claim_evidence_audit,0.72,1.0,0.603,0.7328,1,1,1,1,1777163419.15
54,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777163419.15
55,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163419.15
56,claim_evidence_audit,0.0001,0.0001,0.2551,0.0638,0,0,0,0,1777163419.15
57,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163419.15
58,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777163419.15
59,claim_evidence_audit,0.6136,1.0,0.5471,0.6549,1,1,1,1,1777163419.15
60,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163419.15
61,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163419.15
62,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163419.15
63,claim_evidence_audit,0.0001,0.0001,0.195,0.0488,1,1,1,1,1777163419.15
64,claim_evidence_audit,0.72,1.0,0.6633,0.7478,1,1,1,1,1777163419.15
65,claim_evidence_audit,0.6416,1.0,0.5618,0.6754,1,1,1,1,1777163419.15
66,claim_evidence_audit,0.0001,0.0001,0.2518,0.063,1,1,1,1,1777163419.15
67,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163471.83
68,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163471.83
69,claim_evidence_audit,0.8368,1.0,0.7529,0.8403,1,1,1,1,1777163471.83
70,claim_evidence_audit,0.7,0.0001,0.5925,0.5681,1,1,1,0,1777163471.83
71,claim_evidence_audit,0.6333,1.0,0.5575,0.6694,1,1,1,1,1777163471.83
72,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163471.83
73,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163471.83
74,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163471.83
75,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163471.83
76,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163471.83
77,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777163471.83
78,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163471.83
79,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163471.83
80,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163471.83
81,claim_evidence_audit,0.7732,1.0,0.7151,0.7927,1,1,1,1,1777163471.84
82,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163471.84
83,claim_evidence_audit,0.55,1.0,0.5138,0.6084,1,1,1,1,1777163513.94
84,claim_evidence_audit,0.8067,1.0,0.735,0.8178,1,1,1,1,1777163513.94
85,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163513.94
86,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163513.94
87,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163513.94
88,claim_evidence_audit,0.772,1.0,0.6303,0.7708,1,1,1,1,1777163513.94
89,claim_evidence_audit,0.6853,1.0,0.6628,0.7269,1,1,1,1,1777163513.94
90,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163513.94
91,claim_evidence_audit,0.72,1.0,0.603,0.7328,1,1,1,1,1777163513.94
92,claim_evidence_audit,0.72,1.0,0.603,0.7328,1,1,1,1,1777163513.94
93,claim_evidence_audit,0.52,0.0001,0.498,0.4365,1,1,1,0,1777163513.94
94,claim_evidence_audit,0.72,1.0,0.7437,0.7679,1,1,1,1,1777163513.94
95,claim_evidence_audit,0.72,1.0,0.7437,0.7679,1,1,1,1,1777163513.94
96,claim_evidence_audit,0.4935,1.0,0.4841,0.5671,1,1,1,1,1777163513.94
97,claim_evidence_audit,0.72,1.0,0.603,0.7328,1,1,1,1,1777163513.94
98,claim_evidence_audit,0.0001,0.0001,0.2551,0.0638,0,0,0,0,1777163513.94
99,claim_evidence_audit,0.6136,1.0,0.5471,0.6549,1,1,1,1,1777163562.04
100,claim_evidence_audit,0.9,1.0,0.7672,0.8818,1,1,1,1,1777163562.04
101,claim_evidence_audit,0.8112,1.0,0.716,0.8157,1,1,1,1,1777163562.04
102,claim_evidence_audit,0.7748,1.0,0.7792,0.8097,1,1,1,1,1777163562.04
103,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777163562.04
104,claim_evidence_audit,0.72,1.0,0.603,0.7328,1,1,1,1,1777163562.04
105,claim_evidence_audit,0.72,1.0,0.6633,0.7478,1,1,1,1,1777163562.04
106,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777163562.04
107,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777163562.04
108,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163562.04
109,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777163562.04
110,claim_evidence_audit,0.7366,1.0,0.6117,0.7449,1,1,1,1,1777163562.04
111,claim_evidence_audit,0.808,1.0,0.6492,0.7971,1,1,1,1,1777163562.05
112,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163562.05
113,claim_evidence_audit,0.7,0.0001,0.6715,0.5879,1,1,1,0,1777163562.05
114,claim_evidence_audit,0.0014,0.0001,0.1956,0.0498,1,1,1,1,1777163562.05
115,claim_evidence_audit,0.9,1.0,0.7672,0.8818,1,1,1,1,1777163604.81
116,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163604.81
117,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163604.81
118,claim_evidence_audit,0.0014,0.0001,0.2558,0.0648,1,1,1,1,1777163604.81
119,claim_evidence_audit,0.0001,0.0001,0.195,0.0488,1,1,1,1,1777163604.81
120,claim_evidence_audit,0.0001,0.0001,0.195,0.0488,1,1,1,1,1777163604.81
121,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777163604.82
122,claim_evidence_audit,0.7719,1.0,0.7143,0.7917,1,1,1,1,1777163604.82
123,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777163604.82
124,claim_evidence_audit,0.011,0.0001,0.2308,0.0643,1,1,1,1,1777163604.82
125,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163604.82
126,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163604.82
127,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163604.82
128,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163604.82
129,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777163604.82
130,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163604.82
131,claim_evidence_audit,0.8462,1.0,0.6693,0.825,1,1,1,1,1777163655.08
132,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163655.08
133,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777163655.08
134,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163655.08
135,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163655.08
136,claim_evidence_audit,0.6853,1.0,0.6628,0.7269,1,1,1,1,1777163655.08
137,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163655.08
138,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777163655.08
139,claim_evidence_audit,0.0001,0.0001,0.195,0.0488,1,1,1,1,1777163655.08
140,claim_evidence_audit,0.5963,1.0,0.6098,0.6602,1,1,1,1,1777163655.08
141,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163655.08
142,claim_evidence_audit,0.0014,0.0001,0.2257,0.0573,1,1,1,1,1777163655.08
143,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163655.08
144,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163655.08
145,claim_evidence_audit,0.5613,1.0,0.5197,0.6167,1,1,1,1,1777163655.08
146,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163655.08
147,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163701.16
148,claim_evidence_audit,0.564,1.0,0.5906,0.636,1,1,1,1,1777163701.16
149,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163701.16
150,claim_evidence_audit,0.6728,1.0,0.6553,0.7175,1,1,1,1,1777163701.16
151,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163701.16
152,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163701.16
153,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163701.16
154,claim_evidence_audit,0.808,1.0,0.7358,0.8187,1,1,1,1,1777163701.16
155,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777163701.16
156,claim_evidence_audit,0.52,0.0001,0.498,0.4365,1,1,1,0,1777163701.16
157,claim_evidence_audit,0.72,1.0,0.603,0.7328,1,1,1,1,1777163701.16
158,claim_evidence_audit,0.41,1.0,0.4402,0.5061,1,1,1,1,1777163701.16
159,claim_evidence_audit,0.7353,1.0,0.6721,0.7592,1,1,1,1,1777163701.16
160,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163701.16
161,claim_evidence_audit,0.0001,0.0001,0.195,0.0488,1,1,1,1,1777163701.16
162,claim_evidence_audit,0.0001,0.0001,0.2551,0.0638,1,1,1,1,1777163701.16
163,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163758.37
164,claim_evidence_audit,0.0001,0.0001,0.2191,0.0548,1,1,1,1,1777163758.38
165,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163758.38
166,claim_evidence_audit,0.0001,0.0001,0.2551,0.0638,0,0,0,0,1777163758.38
167,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163758.38
168,claim_evidence_audit,0.8173,1.0,0.6541,0.8039,1,1,1,1,1777163758.38
169,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163758.38
170,claim_evidence_audit,0.6136,1.0,0.6201,0.6732,1,1,1,1,1777163758.38
171,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163758.38
172,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163758.38
173,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163758.38
174,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163758.38
175,claim_evidence_audit,0.4935,1.0,0.5486,0.5833,1,1,1,1,1777163758.38
176,claim_evidence_audit,0.4711,1.0,0.5353,0.5665,1,1,1,1,1777163758.38
177,claim_evidence_audit,0.0111,0.0001,0.2539,0.0702,1,1,1,1,1777163758.38
178,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777163758.38
179,claim_evidence_audit,0.5117,1.0,0.5588,0.5967,1,1,1,1,1777163828.32
180,claim_evidence_audit,0.6378,1.0,0.5598,0.6726,1,1,1,1,1777163828.32
181,claim_evidence_audit,0.6333,1.0,0.6318,0.6879,1,1,1,1,1777163828.32
182,claim_evidence_audit,0.0001,0.0001,0.195,0.0488,1,1,1,1,1777163828.32
183,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777163828.32
184,claim_evidence_audit,0.72,1.0,0.603,0.7328,1,1,1,1,1777163828.32
185,claim_evidence_audit,0.4935,1.0,0.4841,0.5671,1,1,1,1,1777163828.32
186,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777163828.32
187,claim_evidence_audit,0.634,1.0,0.6322,0.6885,1,1,1,1,1777163828.32
188,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777163828.32
189,claim_evidence_audit,0.72,1.0,0.6834,0.7528,1,1,1,1,1777163828.32
190,claim_evidence_audit,0.4614,1.0,0.5295,0.5592,1,1,1,1,1777163828.32
191,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163828.32
192,claim_evidence_audit,0.6443,1.0,0.6196,0.6915,1,1,1,1,1777163828.32
193,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163828.32
194,claim_evidence_audit,0.0001,0.0001,0.2551,0.0638,1,1,1,1,1777163828.32
195,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163877.56
196,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163877.56
197,claim_evidence_audit,0.8067,1.0,0.735,0.8178,1,1,1,1,1777163877.56
198,claim_evidence_audit,0.8112,1.0,0.7377,0.8211,1,1,1,1,1777163877.56
199,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163877.56
200,claim_evidence_audit,0.0001,0.0001,0.2251,0.0563,1,1,1,1,1777163877.56
201,claim_evidence_audit,0.6682,1.0,0.5758,0.6949,1,1,1,1,1777163877.56
202,claim_evidence_audit,0.9,1.0,0.7905,0.8876,1,1,1,1,1777163877.57
203,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777163877.57
204,claim_evidence_audit,0.7353,1.0,0.611,0.7439,1,1,1,1,1777163877.57
205,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777163877.57
206,claim_evidence_audit,0.7353,1.0,0.6925,0.7643,1,1,1,1,1777163877.57
207,claim_evidence_audit,0.9,1.0,0.6975,0.8644,1,1,1,1,1777163877.57
